ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
GRD,Grenada,total,Drinking water,2016,87.11527,96055.90834,Safely managed service
GRD,Grenada,total,Drinking water,2016,3.20987,3539.29672,Surface water
GRD,Grenada,total,Sanitation,2016,2.75205,3034.49818,Unimproved
GRD,Grenada,total,Drinking water,2016,0,0,Unimproved
GTM,Guatemala,total,Sanitation,2016,66.93446,11099793.0258,At least basic
GTM,Guatemala,total,Drinking water,2016,37.72258,6255564.35094,Basic service
GTM,Guatemala,total,Sanitation,2016,9.54282,1582492.85964,Limited service
GTM,Guatemala,total,Drinking water,2016,1.00116,166022.75748,Limited service
GTM,Guatemala,total,Sanitation,2016,4.18609,694182.76553,Open defecation
GTM,Guatemala,total,Drinking water,2016,54.77184,9082856.40199,Safely managed service
GTM,Guatemala,total,Drinking water,2016,2.05377,340578.87952,Surface water
GTM,Guatemala,total,Sanitation,2016,19.33663,3206608.9595,Unimproved
GTM,Guatemala,total,Drinking water,2016,4.45066,738055.60956,Unimproved
GUY,Guyana,total,Sanitation,2016,85.75872,661511.03844,At least basic
GUY,Guyana,total,Drinking water,2016,95.53635,736932.02799,At least basic
GUY,Guyana,total,Sanitation,2016,10.25522,79104.94164,Limited service
GUY,Guyana,total,Drinking water,2016,1.21025,9335.41155,Limited service
GUY,Guyana,total,Sanitation,2016,0.61267,4725.92413,Open defecation
GUY,Guyana,total,Drinking water,2016,2.10559,16241.70778,Surface water
GUY,Guyana,total,Sanitation,2016,3.37339,26021.08467,Unimproved
GUY,Guyana,total,Drinking water,2016,1.14782,8853.82842,Unimproved
IDN,Indonesia,total,Sanitation,2016,76.13784,199143381.86591,At least basic
IDN,Indonesia,total,Drinking water,2016,89.32043,233623298.83438,At least basic
IDN,Indonesia,total,Sanitation,2016,9.27927,24270523.08929,Limited service
IDN,Indonesia,total,Drinking water,2016,0.80903,2116062.01788,Limited service
IDN,Indonesia,total,Sanitation,2016,10.83636,28343198.27831,Open defecation
IDN,Indonesia,total,Drinking water,2016,1.61856,4233453.33069,Surface water
IDN,Indonesia,total,Sanitation,2016,3.74653,9799278.31048,Unimproved
IDN,Indonesia,total,Drinking water,2016,8.25198,21583567.858,Unimproved
IRN,Iran (Islamic Republic of),total,Sanitation,2016,89.03494,70839748.56061,At least basic
IRN,Iran (Islamic Republic of),total,Drinking water,2016,3.55473,2828281.34774,Basic service
IRN,Iran (Islamic Republic of),total,Sanitation,2016,9.73979,7749364.47453,Limited service
IRN,Iran (Islamic Republic of),total,Drinking water,2016,1.9833,1577994.24223,Limited service
IRN,Iran (Islamic Republic of),total,Sanitation,2016,0.37352,297184.24752,Open defecation
IRN,Iran (Islamic Republic of),total,Drinking water,2016,93.39462,74308490.94501,Safely managed service
IRN,Iran (Islamic Republic of),total,Drinking water,2016,0.07065,56210.6738,Surface water
IRN,Iran (Islamic Republic of),total,Sanitation,2016,0.85176,677697.62302,Unimproved
IRN,Iran (Islamic Republic of),total,Drinking water,2016,0.9967,793014.78803,Unimproved
IRQ,Iraq,total,Sanitation,2016,53.14277,19455903.18682,Basic service
IRQ,Iraq,total,Drinking water,2016,37.22324,13627663.24647,Basic service
IRQ,Iraq,total,Sanitation,2016,2.33739,855732.28552,Limited service
IRQ,Iraq,total,Drinking water,2016,1.0278,376282.72989,Limited service
IRQ,Iraq,total,Sanitation,2016,0.04849,17753.78488,Open defecation
IRQ,Iraq,total,Sanitation,2016,41.71972,15273851.98909,Safely managed service
IRQ,Iraq,total,Drinking water,2016,57.91293,21202290.77738,Safely managed service
